Probeta;ID-3;ID-4;Fecha;Colada Nº;Calidad;Cantidad PF/ Detalle;Cantidad Aros / Detalle;C;Si;Mn;P;S;Cr;Ni;Mo;Cu;V
AR 1478;;CRIS;07/09/2010;1119 F H1;C 12;BTE-PRENSA-ANILLO-TPA(E8-150);;0,161;1;0,59;0,016;0,009;9,57;0,116;1,13;0,045;0,067
AR 1479;;CARRERA;27/08/2010;201 F H3;WCB;CPO E6-900(1);;0,219;0,55;0,89;0,02;0,015;0,064;0,047;0,017;0,035;0,004
AR 1480;;CRIS;27/08/2010;200 F H3;WCB;;;0,226;0,48;0,87;0,017;0,014;0,072;0,048;0,018;0,053;0,003
AR 1481;;CARRERA;27/08/2010;1074 F H2;WCB;1 CAJA SIN ID. SOLO EL MATERIA;;0,199;0,52;0,93;0,02;0,011;0,068;0,043;0,017;0,03;0,005
AR 1482;;CARRERA;27/08/2010;202 F H3;WCB;;;0,205;0,58;0,9;0,019;0,015;0,046;0,04;0,015;0,028;0,003
AR 1483;;CARRERA;27/08/2010;1073 F H2;WCB;;;0,16;0,59;0,93;0,016;0,009;0,091;0,046;0,02;0,037;0,006
AR 1484;;CARRERA;27/08/2010;203 F H3;WCB;;;0,215;0,57;0,91;0,018;0,013;0,071;0,046;0,016;0,032;0,005
AR 1485;;CARRERA;27/08/2010;201 F H3;WCB;BTE E6-900(2);;0,219;0,55;0,89;0,02;0,015;0,064;0,047;0,017;0,035;0,004
AR 1486;;CRIS;30/08/2010;205 F H3;WCB;VOL 3-150;;0,214;0,57;0,88;0,015;0,014;0,108;0,048;0,022;0,042;0,004
AR 1487;FRANCUCCI;CARRERA;01/09/2010;1096 F H2;WCB;CAJAS 3;10 CAJAS;0,214;0,59;0,96;0,028;0,014;0,054;0,042;0,016;0,02;0,002
AR 1488;;CARRERA;31/08/2010;218 F H3;WCB;CPO E6-300(1);;0,229;0,54;0,85;0,014;0,011;0,046;0,038;0,015;0,027;0,002
AR 1489;AR1490#1/AR1489#1;CARRERA;31/08/2010;1088 F H2;WCB;;;0,242;0,55;0,76;0,024;0,015;0,259;0,093;0,019;0,037;0,005
AR 1490;AR1490#1/AR1489#1;CARRERA;31/08/2010;1088 F H2;WCB;;;0,242;0,55;0,76;0,024;0,015;0,259;0,093;0,019;0,037;0,005
AR 1491;;CRIS;02/09/2010;222 F H3;WCB;;;0,212;0,468;0,9;0,036;0,015;0,05;0,045;0,017;0,017;0,002
AR 1492;;CARRERA;02/09/2010;227 F H3;WCB;CPO E6-300(1);;0,215;0,55;0,89;0,019;0,013;0,062;0,039;0,015;0,019;0,002
AR 1493;;CARRERA;02/09/2010;226 F H3;WCB;CPO 6-300(1);;0,245;0,52;0,82;0,02;0,012;0,049;0,037;0,015;0,018;0,002
AR 1494;;CARRERA;03/09/2010;232 F H3;WCB;CPO E6-300(1);;0,202;0,53;0,89;0,017;0,013;0,121;0,054;0,017;0,022;0,002
AR 1495;TROSARELLO;CARRERA;03/09/2010;233 F H3;WCB;;BRIDA FIJA(11)-BRIDA GIRATORIA;0,193;0,483;0,93;0,017;0,013;0,117;0,05;0,018;0,025;0,003
AR 1496;TROSARELLO;CARRERA;03/09/2010;233 F H3;WCB;;BRIDA FIJA(11)-BRIDA GIRATORIA;0,193;0,483;0,93;0,017;0,013;0,117;0,05;0,018;0,025;0,003
AR 1497;;CARRERA;08/09/2010;1128 F H1;WCB;CPO E6-300(2);;0,206;0,51;0,89;0,031;0,013;0,264;0,04;0,016;0,014;0,002
AR 1498;FABRIMAC-FACCIOLI;CARRERA;08/09/2010;244 F H4;WCB;CPO E6-300(2);VTE FACCIOLI#5;0,208;0,51;0,89;0,028;0,012;0,139;0,145;0,021;0,027;0,003
AR 1499;;CARRERA;08/09/2010;1128 F H1;WCB;CPO E6-300(1);;0,206;0,51;0,89;0,031;0,013;0,264;0,04;0,016;0,014;0,002
AR 1500;;CARRERA;08/09/2010;1129 F H1;WCB;CPO E6-300(2);;0,219;0,53;0,97;0,024;0,013;0,094;0,04;0,016;0,016;0,002
AR 1501;FABRIMAC-FACCIOLI;CARRERA;08/09/2010;244 F H4;WCB;CPO E6-300(2);VTE FACCIOLI#5;0,208;0,51;0,89;0,028;0,012;0,139;0,145;0,021;0,027;0,003
AR 1502;;CRIS;21/09/2010;1193 F H2;WCB;;T REGULABLE(32);0,192;0,53;0,89;0,016;0,014;0,148;0,037;0,015;0,024;0,005
AR 1503;;CRIS;10/09/2010;1139 F H1;WCB;CPO E6-300;;0,225;0,465;0,79;0,017;0,01;0,073;0,037;0,013;0,018;0,003
AR 1504;;CRIS;14/09/2010;1158 F H1;WCB;;;0,211;0,472;0,98;0,012;0,018;0,057;0,032;0,018;0,063;0,001
AR 1505;;CRIS;14/09/2010;1158 F H1;WCB;;;0,211;0,472;0,98;0,012;0,018;0,057;0,032;0,018;0,063;0,001
AR 1506;;CARRERA;31/08/2010;218 F H3;WCB;BTE E6-300;;0,229;0,54;0,85;0,014;0,011;0,046;0,038;0,015;0,027;0,002
AR 1507;TULSA;CARRERA;02/09/2010;225 F H3;WCB;CAJAS 4;VTE E4-150#3-BTE E2-150(16);0,242;0,481;0,85;0,025;0,013;0,083;0,042;0,014;0,022;0,002
AR 1508;;CARRERA;08/09/2010;245 F H4;WCB;BTE E6-300(1);;0,22;0,53;0,83;0,022;0,013;0,112;0,075;0,021;0,028;0,004
AR 1509;GONELLA-SYLWAN;CARRERA;07/09/2010;239 F H4;WCB;BTE E6-300(1);TPA(1);0,245;0,52;0,76;0,023;0,021;0,078;0,057;0,018;0,033;0,003
AR 1510;;CARRERA;08/09/2010;245 F H4;WCB;BTE E6-300(5);;0,22;0,53;0,83;0,022;0,013;0,112;0,075;0,021;0,028;0,004
AR 1511;;CARRERA;08/09/2010;246 F H4;WCB;CPO G6-900(1);;0,208;0,56;0,9;0,018;0,01;0,066;0,038;0,017;0,02;0,005
AR 1512;;CARRERA;08/09/2010;245 F H4;WCB;CPO E6-900(1);;0,22;0,53;0,83;0,022;0,013;0,112;0,075;0,021;0,028;0,004
AR 1513;;CRIS;14/09/2010;1156 F H1;WCB;;;0,221;0,48;0,78;0,012;0,018;0,068;0,036;0,014;0,062;0,002
AR 1514;;CRIS;14/09/2010;1156 F H1;WCB;;;0,221;0,48;0,78;0,012;0,018;0,068;0,036;0,014;0,062;0,002
AR 1515;;CARRERA;08/09/2010;1130 F H1;WCB;TPA G6-900(1);;0,218;0,54;0,87;0,031;0,013;0,065;0,045;0,015;0,019;0,002
AR 1516;;CARRERA;08/09/2010;1130 F H1;WCB;TPA G6-900(1);;0,218;0,54;0,87;0,031;0,013;0,065;0,045;0,015;0,019;0,002
AR 1517;;CRIS;14/09/2010;1154 F H1;WCB;BTE G6-900;OJAL DE LANZA-SEGURO DE GANCHO;0,197;0,6;0,9;0,013;0,024;0,236;0,036;0,017;0,058;0,004
AR 1518;;CRIS;14/09/2010;1154 F H1;WCB;BTE G6-900;OJAL DE LANZA-SEGURO DE GANCHO;0,197;0,6;0,9;0,013;0,024;0,236;0,036;0,017;0,058;0,004
AR 1519;GIACOMETTI;CRIS;24/09/2010;321 F H3;WCB;ENGRANAJE(3);PRENSA-ANILLO;0,236;0,468;0,89;0,02;0,014;0,125;0,059;0,018;0,027;0,003
AR 1520;;CRIS;07/10/2010;1277 F H2;CA15;CUNA E4-300 FLEX;;0,147;0,96;0,86;0,018;0,007;13,27;0,188;0,024;0,052;0,073
AR 1521;;CRIS;05/10/2010;1265 F H2;CA15;CUNA E3-300;;0,15;0,93;0,421;0,017;0,006;12,23;0,248;0,016;0,051;0,061
AR 1522;;CRIS;24/09/2010;320 F H3;WCB;CUNA E2-300/600 F;;0,23;0,478;0,94;0,017;0,012;0,057;0,037;0,016;0,021;0,004
AR 1523;;CRIS;16/09/2010;1172 F H1;CF8M;CPO G2-1500-BTE G2-1500-PRENSA;;0,075;0,9;0,82;0,022;0,012;18,38;9,28;2,4;0,34;0,077
AR 1524;;CARRERA;13/09/2010;1153 F H1;CA15;CUNA E4-150(40);;0,142;0,86;0,92;0,017;0,009;12,58;0,144;0,021;0,058;0,084
AR 1525;;CARRERA;17/09/2010;1181 F H1;CA15;CUNA E4-150(18);;0,134;1,08;0,98;0,019;0,012;14;0,159;0,038;0,071;0,093
AR 1526;;CARRERA;15/09/2010;1170 F H1;CA15;CUNA E4-150(48);;0,149;1;0,83;<0.001;0,006;13,1;0,123;0,026;0,115;0,086
AR 1527;;CRIS;22/09/2010;1203 F H2;WCB;CPO C2-900/1500;VOL;0,25;0,357;0,85;0,015;0,008;0,067;0,036;0,013;0,016;0,005
AR 1528;;CRIS;29/09/2010;340 F H3;WCB;PRENSA E8-150/PLAQ SUP/VOL E8-;SEGURO DE GANCHO-BANANITAS;0,221;0,424;0,89;0,018;0,013;0,047;0,04;0,016;0,038;0,003
AR 1529;;EZE;24/09/2010;1217 H2 F;WCB;4 CPOS CLAP 2"900/1500;2 PROBETAS;0,223;0,447;0,91;0,017;0,012;0,172;0,058;0,017;0,02;0,004
AR 1530;;CRIS;24/09/2010;320 F H3;WCB;CPO C2-900/1500;;0,23;0,478;0,94;0,017;0,012;0,057;0,037;0,016;0,021;0,004
AR 1531;;CRIS;24/09/2010;1214 F H2;WCB;TPA C2-900/1500;;0,224;0,5;0,88;0,017;0,014;0,069;0,045;0,014;0,025;0,003
AR 1532;;CRIS;30/09/2010;1244 F H2;WCB;CPO E4-150;;0,234;0,203;0,77;0,015;0,01;0,086;0,04;0,013;0,016;0,003
AR 1533;;CRIS;30/09/2010;1243 F H2;WCB;CPO E4-150(PARCIAL);;0,233;0,42;0,99;0,017;0,014;0,05;0,041;0,015;0,02;0,006
AR 1534;;CRIS;30/09/2010;1243 F H2;WCB;CPO E4-150(PARCIAL);;0,233;0,42;0,99;0,017;0,014;0,05;0,041;0,015;0,02;0,006
AR 1535;;CRIS;04/10/2010;360 F H3;WCB;CPO E4-150;;0,2;0,33;0,91;0,014;0,009;0,185;0,054;0,016;0,013;0,002
AR 1536;;CRIS;05/10/2010;365 F H3;WCB;CPO E4-150;VOL E3-300;0,214;0,396;0,89;0,015;0,012;0,056;0,046;0,015;0,016;0,001
AR 1537;;CARRERA;25/10/2010;456 F H3;WCB;4 CAJAS;;0,195;0,52;0,85;0,014;0,011;0,056;0,046;0,015;0,019;0,005
AR 1538;;CRIS;20/10/2010;432 F H4;WCB;PZAS(4);;0,192;0,32;0,81;0,016;0,012;0,117;0,057;0,018;0,024;0,003
AR 1539;;CRIS;21/09/2010;302 F H3;WCB;CPO E2-300;;0,215;0,472;1,02;0,017;0,014;0,104;0,052;0,027;0,044;0,005
AR 1540;;CRIS;21/09/2010;302 F H3;WCB;CPO E2-300;;0,215;0,472;1,02;0,017;0,014;0,104;0,052;0,027;0,044;0,005
AR 1541;;CRIS;21/09/2010;302 F H3;WCB;CPO E2-300;;0,215;0,472;1,02;0,017;0,014;0,104;0,052;0,027;0,044;0,005
AR 1542;;CRIS;23/09/2010;1210 F H2;WCB;CPO E2-300;;0,234;0,456;0,88;0,015;0,012;0,101;0,052;0,017;0,025;0,003
AR 1543;;EZE;23/09/2010;1213 H2 R;WCB;6 PZAS;;0,211;0,355;0,78;0,017;0,01;0,11;0,049;0,014;0,019;0,004
AR 1544;;CRIS;24/09/2010;320 F H3;WCB;BTE E2-300;;0,23;0,478;0,94;0,017;0,012;0,057;0,037;0,016;0,021;0,004
AR 1546;FABRIMAQ;CRIS;19/10/2010;426 F H4;WCB;SIN FIN N2;;0,211;0,447;0,9;0,016;0,013;0,17;0,095;0,02;0,026;0,004
AR 1547;;CARRERA;19/10/2010;430 F H4;WCB;CPO C6-150(3);;0,21;0,55;0,82;0,016;0,013;0,109;0,051;0,018;0,028;0,002
AR 1548;;CRIS;20/10/2010;1327 F H1;WCB;CPO E3-300;;0,2;0,51;0,94;0,017;0,013;0,076;0,049;0,017;0,024;0,003
AR 1549;;CRIS;21/10/2010;442 F H4;WCB;CPO E3-300;;0,223;0,466;0,89;0,014;0,009;0,077;0,051;0,017;0,028;0,002
AR 1550;;CRIS;21/10/2010;441 F H4;WCB;CPO E3-300;;0,221;0,442;0,92;0,013;0,009;0,094;0,064;0,017;0,027;0,002
AR 1551;AMRO;GUS;23/10/2010;444FH3;WCB;CPO E8-300(PARCIAL);TRABA;0,211;0,56;0,95;0,014;0,01;0,076;0,051;0,015;0,021;0,002
AR 1552;AMRO;GUS;23/10/2010;444FH3;WCB;CPO E8-300;TRABA;0,211;0,56;0,95;0,014;0,01;0,076;0,051;0,015;0,021;0,002
AR 1553;;CRIS;25/10/2010;452 F H3;WCB;;;0,24;0,468;0,75;0,02;0,012;0,093;0,061;0,016;0,068;0,004
AR 1554;;CRIS;25/10/2010;452 F H3;WCB;;;0,24;0,468;0,75;0,02;0,012;0,093;0,061;0,016;0,068;0,004
AR 1555;;CRIS;30/09/2010;1241 F H2;WCB;;PRENSA E8-150;0,228;0,345;0,83;0,019;0,016;0,076;0,049;0,017;0,021;0,004
AR 1558;;CARRERA;17/09/2010;1181 F H1;CA15;CUNA E2-300-600(48);;0,134;1,08;0,98;0,019;0,012;14;0,159;0,038;0,071;0,093
AR 1559;;CARRERA;05/10/2010;369 F H3;WCB;CPO E6-900(1);;0,219;0,474;0,86;0,017;0,011;0,103;0,061;0,017;0,02;0,003
AR 1560;;CARRERA;05/10/2010;370 F H3;WCB;CPO E6-900(1);;0,222;0,51;0,83;0,014;0,01;0,057;0,045;0,015;0,019;0,002
AR 1561;;CARRERA;05/10/2010;371 F H3;WCB;PZA(1);;0,235;0,434;0,87;0,016;0,01;0,105;0,052;0,016;0,021;0,002
AR 1562;;CRIS;07/10/2010;381 F H3;WCB;CPO E6-900;;0,183;0,463;0,92;0,013;0,008;0,233;0,102;0,022;0,021;0,003
AR 1563;;CRIS;07/10/2010;380 F H3;WCB;CPO E6-900;;0,195;0,5;0,95;0,013;0,009;0,096;0,045;0,015;0,017;0,001
AR 1564;;CRIS;07/10/2010;379 F H3;WCB;CPO E6-900(1);;0,209;0,52;0,85;0,014;0,01;0,069;0,051;0,015;0,019;0,003
AR 1565;;CRIS;07/10/2010;379 F H3;WCB;CPO E6-900(1);;0,209;0,52;0,85;0,014;0,01;0,069;0,051;0,015;0,019;0,003
AR 1566;;CRIS;07/10/2010;1274 F H2;WCB;CPO E6-900(1);;0,221;0,53;0,85;0,014;0,008;0,259;0,103;0,02;0,019;0,005
AR 1567;;CRIS;08/10/2010;387 F H3;WCB;CPO E6-900(1);;0,225;0,386;0,81;0,014;0,01;0,193;0,065;0,02;0,025;0,003
AR 1568;;CRIS;08/10/2010;387 F H3;WCB;CPO E6-900(1);;0,225;0,386;0,81;0,014;0,01;0,193;0,065;0,02;0,025;0,003
AR 1569;;CARRERA;05/10/2010;369 F H3;WCB;BTE E6-900(3);;0,219;0,474;0,86;0,017;0,011;0,103;0,061;0,017;0,02;0,003
AR 1570;;CRIS;06/10/2010;373 F H3;WCB;BTE E6-900;;0,218;0,499;1,03;0,017;0,012;0,049;0,046;0,019;0,022;0,005
AR 1571;;CARRERA;06/10/2010;377 F H3;WCB;BTE E6-900(3);;0,249;0,62;0,86;0,014;0,009;0,044;0,044;0,015;0,019;0,002
AR 1572;;CARRERA;06/10/2010;378 F H3;WCB;BTE E6-900(1);;0,226;0,308;1,05;0,017;0,011;0,053;0,052;0,018;0,021;0,003
AR 1573;;CRIS;07/10/2010;380 F H3;WCB;TORRE E6-900;;0,195;0,5;0,95;0,013;0,009;0,096;0,045;0,015;0,017;0,001
AR 1574;;CRIS;12/10/2010;393 F H3;WCB;PARCIAL;VOL E3-300-CUNA E2-300;0,228;0,448;0,93;0,013;0,013;0,157;0,085;0,024;0,059;0,004
AR 1575;;CARRERA;05/10/2010;369 F H3;WCB;TPA BUJE E6-900(6);;0,219;0,474;0,86;0,017;0,011;0,103;0,061;0,017;0,02;0,003
AR 1577;;GUS;28/09/2010;1232RH2;WCB;SUPLEMENTO INF;;0,233;0,408;0,84;0,015;0,008;0,068;0,037;0,014;0,014;0,005
AR 1578;;CRIS;05/10/2010;365 F H3;WCB;TPA BUJE E6-900;VOL E3-300;0,214;0,396;0,89;0,015;0,012;0,056;0,046;0,015;0,016;0,001
AR 1579;EMU;CRIS;29/09/2010;1235 F H2;WCB;CPO E6-300;CPO(1);0,242;0,56;0,92;0,016;0,01;0,075;0,048;0,017;0,017;0,005
AR 1580;;CRIS;29/09/2010;1234 F H2;WCB;CPO E6-300(2);VOL E8-150;0,231;0,416;0,92;0,018;0,011;0,059;0,045;0,013;0,02;0,005
AR 1581;;GUS;29/09/2010;344FH3;WCB;2 CAJAS;VOL E8-150(24);0,22;0,428;0,98;0,016;0,013;0,098;0,046;0,017;0,019;0,005
AR 1582;;GUS;29/09/2010;344FH3;WCB;2 CAJAS;VOL E8-150(24);0,22;0,428;0,98;0,016;0,013;0,098;0,046;0,017;0,019;0,005
AR 1583;;GUS;30/09/2010;1245FH2;WCB;CPO E6-300(2);;0,214;0,488;0,74;0,014;0,01;0,043;0,031;0,013;0,014;0,002
AR 1584;;CRIS;30/09/2010;350 F H3;WCB;CPO E6-300(2);;0,24;0,489;0,92;0,017;0,013;0,044;0,043;0,015;0,017;0,003
AR 1585;;GUS;01/10/2010;1252FH2;WCB;CPO E6-300(2);;0,231;0,429;1,01;0,014;0,009;0,058;0,053;0,017;0,014;0,003
AR 1586;;CRIS;01/10/2010;1250 F H2;WCB;CPO E6-300;;0,21;0,49;1,08;0,02;0,01;0,083;0,051;0,017;0,014;0,002
AR 1587;;CRIS;04/10/2010;360 F H3;WCB;CPO E6-300(2);;0,2;0,33;0,91;0,014;0,009;0,185;0,054;0,016;0,013;0,002
AR 1588;;GUS;01/10/2010;1253FH2;WCB;CPO E6-300(2);;0,234;0,444;1,01;0,014;0,009;0,058;0,051;0,016;0,015;0,003
AR 1589;;CARRERA;04/10/2010;364 F H3;WCB;PZAS (2);;0,211;0,5;0,75;0,013;0,012;0,07;0,044;0,015;0,016;0,002
AR 1590;;CARRERA;04/10/2010;364 F H3;WCB;PZAS (2);;0,211;0,5;0,75;0,013;0,012;0,07;0,044;0,015;0,016;0,002
AR 1591;;CRIS;06/10/2010;373 F H3;WCB;CPO E6-300;;0,218;0,499;1,03;0,017;0,012;0,049;0,046;0,019;0,022;0,005
AR 1592;;CRIS;07/10/2010;380 F H3;WCB;BTE E6-300;;0,195;0,5;0,95;0,013;0,009;0,096;0,045;0,015;0,017;0,001
AR 1593;;CRIS;06/10/2010;373 F H3;WCB;BTE E6-300;;0,218;0,499;1,03;0,017;0,012;0,049;0,046;0,019;0,022;0,005
AR 1594;;CRIS;07/10/2010;380 F H3;WCB;BTE E6-300;;0,195;0,5;0,95;0,013;0,009;0,096;0,045;0,015;0,017;0,001
AR 1595;ICEMEC;CRIS;03/11/2010;489 F H4;WCB;BTE E6-300;PORTA RODAMIENTO;0,214;0,428;0,98;0,017;0,012;0,061;0,055;0,015;0,031;0,003
AR 1596;;CARRERA;08/10/2010;392 F H3;WCB;2 PZAS;VOL E6-900(2)-VOL E10-600(2);0,226;0,6;1;0,016;0,01;0,079;0,066;0,022;0,017;0,003
AR 1597;;CRIS;22/09/2010;1200 F H2;WCB;TORRE E10-150(2);PRENSA E3-300(80);0,221;0,55;0,9;0,017;0,012;0,204;0,045;0,018;0,061;0,007
AR 1598;;CRIS;20/10/2010;433 F H4;WCB;CPO E4-150;;0,213;0,43;0,78;0,016;0,014;0,112;0,06;0,021;0,039;0,002
AR 1599;;CRIS;20/10/2010;433 F H4;WCB;CPO E4-150;;0,213;0,43;0,78;0,016;0,014;0,112;0,06;0,021;0,039;0,002
AR 1600;;CRIS;21/10/2010;1334 F H1;WCB;CPO E4-150;;0,225;0,432;0,65;0,015;0,011;0,105;0,069;0,015;0,03;0,003
AR 1601;;CRIS;21/10/2010;1335 F H1;WCB;CPO E4-150;;0,229;0,52;0,83;0,016;0,011;0,121;0,057;0,016;0,028;0,002
AR 1602;;CRIS;26/10/2010;458 F H3;WCB;;;0,209;0,463;1,08;0,017;0,011;0,044;0,044;0,017;0,017;0,003
AR 1605;;CRIS;02/11/2010;1386 F H2;WCB;PZAS(4);;0,219;0,408;0,88;0,014;0,014;0,11;0,045;0,016;0,028;0,003
AR 1606;;CRIS;02/11/2010;482 F H4;WCB;;;0,24;0,37;0,82;0,018;0,014;0,114;0,063;0,015;0,038;0,002
AR 1607;;CRIS;02/11/2010;1386 F H2;WCB;PZAS(4);;0,219;0,408;0,88;0,014;0,014;0,11;0,045;0,016;0,028;0,003
AR 1608;;CRIS;03/11/2010;488 F H4;WCB;CPO E2-300;;0,205;0,429;0,9;0,016;0,011;0,056;0,044;0,014;0,022;0,003
AR 1609;;CRIS;08/11/2010;1411 F H2;WCB;CPO E2-300;;0,228;0,451;1,01;0,02;0,019;0,041;0,044;0,018;0,033;0,001
AR 1612;PETINARI;CRIS;15/10/2010;411 F H4;WCB;MOD 457;;0,206;0,384;0,78;0,017;0,015;0,107;0,073;0,019;0,029;0,004
AR 1613;;CARRERA;18/10/2010;421 F H4;WCB;CPO C6-150(5);;0,203;0,443;0,88;0,013;0,01;0,072;0,048;0,02;0,025;0,002
AR 1614;;CRIS;18/10/2010;1313 F H1;WCB;CPO C6-150(5);;0,245;0,477;0,77;0,014;0,012;0,072;0,05;0,013;0,03;0,002
AR 1615;;CARRERA;19/10/2010;430 F H4;WCB;CPO E3-300(4);;0,21;0,55;0,82;0,016;0,013;0,109;0,051;0,018;0,028;0,002
AR 1616;;GUS;23/10/2010;444FH3;WCB;CPO C6-150(PARCIAL);;0,211;0,56;0,95;0,014;0,01;0,076;0,051;0,015;0,021;0,002
AR 1617;;CRIS;26/10/2010;457 F H3;WCB;PZAS(4);;0,214;0,52;0,88;0,017;0,013;0,055;0,051;0,015;0,025;0,002
AR 1618;;CRIS;13/10/2010;400 F H3;WCB;CPO E10-600(1);;0,202;0,492;0,9;0,015;0,014;0,103;0,061;0,02;0,027;0,003
AR 1619;;CRIS;13/10/2010;399 F H3;WCB;CPO E10-600(1);;0,189;0,435;0,89;0,013;0,015;0,05;0,043;0,017;0,03;0,001
AR 1620;;CARRERA;07/10/2010;385 F H3;WCB;BTE G10-600(1);;0,178;0,54;0,91;0,012;0,007;0,072;0,044;0,015;0,018;0,003
AR 1621;;CARRERA;07/10/2010;385 F H3;WCB;BTE G10-600(1);;0,178;0,54;0,91;0,012;0,007;0,072;0,044;0,015;0,018;0,003
AR 1622;;CARRERA;07/10/2010;385 F H3;WCB;OBT G10-600(2)-ANILLO Y TPA BU;VOL E6-900(1);0,178;0,54;0,91;0,012;0,007;0,072;0,044;0,015;0,018;0,003
AR 1623;;CRIS;15/10/2010;412 F H4;WCB;PZAS(1);;0,19;0,452;0,71;0,019;0,012;0,286;0,056;0,015;0,021;0,004
AR 1624;GIRON;CARRERA;16/10/2010;1310FH1;WCB;PZAS(1);VOL 3-300(12);0,226;0,484;0,89;0,017;0,019;0,091;0,053;0,017;0,03;0,002
AR 1625;;CRIS;20/10/2010;432 F H4;WCB;PZAS(1);;0,192;0,32;0,81;0,016;0,012;0,117;0,057;0,018;0,024;0,003
AR 1626;;CRIS;15/10/2010;1306 F H1;WCB;;;0,182;0,427;0,84;0,014;0,011;0,069;0,047;0,015;0,017;0,002
AR 1627;PETINARI;CRIS;21/10/2010;1333 F H1;WCB;PZAS(1);MOD 503(24);0,208;0,57;0,96;0,013;0,009;0,175;0,064;0,02;0,026;0,003
AR 1628;;CRIS;20/10/2010;432 F H4;WCB;PZAS(2);;0,192;0,32;0,81;0,016;0,012;0,117;0,057;0,018;0,024;0,003
AR 1629;;GUS;23/10/2010;450FH3;WCB;CPO E10-150(2);VOL E10-150;0,232;0,479;0,9;0,018;0,012;0,05;0,048;0,015;0,017;0,002
AR 1630;;CRIS;20/10/2010;1326 F H1;WCB;8 PZAS;;0,215;0,52;0,87;0,016;0,012;0,108;0,052;0,018;0,027;0,002
AR 1631;;CRIS;26/10/2010;457 F H3;WCB;PZAS(1);;0,214;0,52;0,88;0,017;0,013;0,055;0,051;0,015;0,025;0,002
AR 1632;;CRIS;03/11/2010;487 F H4;WCB;CPO E10-150;;0,219;0,359;0,7;0,016;0,012;0,061;0,049;0,012;0,029;0,003
AR 1633;;CARRERA;02/11/2010;1387 F H2;WCB;PZAS(2);VOL E10-150;0,205;0,404;0,75;0,017;0,011;0,039;0,041;0,013;0,022;0,003
AR 1634;;CRIS;03/11/2010;488 F H4;WCB;CPO E10-150(PARCIAL);;0,205;0,429;0,9;0,016;0,011;0,056;0,044;0,014;0,022;0,003
AR 1635;;CARRERA;02/11/2010;486 F H4;WCB;PZAS(1);;0,246;0,438;0,72;0,015;0,012;0,044;0,043;0,015;0,027;0,004
AR 1636;;CRIS;03/11/2010;490 F H4;WCB;PZAS(2);;0,197;0,399;0,84;0,017;0,011;0,06;0,054;0,013;0,024;0,002
AR 1638;;CARRERA;19/10/2010;429 F H4;WCB;BTE E10-150 (6);;0,2;0,55;0,89;0,015;0,012;0,079;0,049;0,02;0,033;0,002
AR 1639;PETINARI;CRIS;18/10/2010;419 F H4;WCB;BT E10-150(6);MOD 457;0,223;0,356;0,86;0,019;0,011;0,103;0,051;0,017;0,024;0,002
AR 1640;;CRIS;19/10/2010;425 F H4;WCB;;;0,217;0,441;0,9;0,017;0,014;0,135;0,091;0,019;0,03;0,005
AR 1641;;CRIS;19/10/2010;425 F H4;WCB;;;0,217;0,441;0,9;0,017;0,014;0,135;0,091;0,019;0,03;0,005
AR 1642;;CRIS;19/10/2010;425 F H4;WCB;;;0,217;0,441;0,9;0,017;0,014;0,135;0,091;0,019;0,03;0,005
AR 1644;PETINARI;CRIS;21/10/2010;1333 F H1;WCB;PZAS(5);MOD 503(24);0,208;0,57;0,96;0,013;0,009;0,175;0,064;0,02;0,026;0,003
AR 1645;;CRIS;02/11/2010;482 F H4;WCB;;;0,24;0,37;0,82;0,018;0,014;0,114;0,063;0,015;0,038;0,002
AR 1646;;CRIS;02/11/2010;483 F H4;WCB;PZAS(6);;0,223;0,445;0,77;0,017;0,015;0,052;0,048;0,015;0,024;0,002
AR 1647;;CRIS;03/11/2010;488 F H4;WCB;CUNA E10-150;;0,205;0,429;0,9;0,016;0,011;0,056;0,044;0,014;0,022;0,003
AR 1648;;CARRERA;18/10/2010;423 F H4;WCB;CPO E8-300(1);;0,211;0,53;0,8;0,017;0,012;0,086;0,053;0,015;0,019;0,004
AR 1650;;CARRERA;26/10/2010;463 F H3;WCB;CPO E8-300(1);;0,204;0,54;0,85;0,017;0,013;0,057;0,053;0,014;0,021;0,004
AR 1651;;CARRERA;26/10/2010;463 F H3;WCB;CPO E8-300(1);;0,204;0,54;0,85;0,017;0,013;0,057;0,053;0,014;0,021;0,004
AR 1654;AMRO;CRIS;29/10/2010;468 F H3;WCB;CPO E8-300;OJAL DE LANZA;0,249;0,432;0,75;0,017;0,014;0,065;0,05;0,013;0,033;0,004
AR 1655;;CARRERA;29/10/2010;471 F H3;WCB;PZAS(1);VOL E10-150(4);0,194;0,423;0,86;0,013;0,01;0,059;0,046;0,013;0,027;0,004
AR 1656;AMRO;CRIS;29/10/2010;469 F H3;WCB;CPO E8-300;PLAQ INF-OJAL DE LANZA;0,227;0,41;0,84;0,015;0,013;0,042;0,049;0,014;0,036;0,005
AR 1658;ICEMEC;CRIS;28/10/2010;1364 F H2;WCB;PZA 2580-120332;;0,239;0,456;0,81;0,015;0,011;0,074;0,064;0,014;0,032;0,003
AR 1659;;CARRERA;01/11/2010;1378 F H4;WCB;PZAS(1);;0,238;0,51;0,81;0,01;0,011;0,085;0,058;0,017;0,024;0,002
